"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Malachi Richardson",3000,"NO@Sac 10:30PM ET",1.750,"Sac"
"SF/PF","Anthony Tolliver",3000,"NO@Sac 10:30PM ET",7.500,"Sac"
"SF","Quincy Pondexter",3000,"NO@Sac 10:30PM ET",0,"NO"
"PF","Cheick Diallo",3000,"NO@Sac 10:30PM ET",3.250,"NO"
"PF","Skal Labissiere",3000,"NO@Sac 10:30PM ET",11.750,"Sac"
"C","Alexis Ajinca",3000,"NO@Sac 10:30PM ET",6.313,"NO"
"C","Omer Asik",3000,"NO@Sac 10:30PM ET",13.000,"NO"
"C","Willie Cauley-Stein",3000,"NO@Sac 10:30PM ET",7.542,"Sac"
"C","Georgios Papagiannis",3000,"NO@Sac 10:30PM ET",2.750,"Sac"
"PG","Mo Williams",3000,"Atl@Cle 07:00PM ET",0,"Cle"
"PG","Malcolm Delaney",3000,"Atl@Cle 07:00PM ET",13.875,"Atl"
"PG","DeAndre Liggins",3000,"Atl@Cle 07:00PM ET",3.438,"Cle"
"PG","Kay Felder",3000,"Atl@Cle 07:00PM ET",4.750,"Cle"
"SG/SF","Mike Dunleavy",3000,"Atl@Cle 07:00PM ET",10.500,"Cle"
"SG","James Jones",3000,"Atl@Cle 07:00PM ET",2.500,"Cle"
"SG","Jordan McRae",3000,"Atl@Cle 07:00PM ET",1.000,"Cle"
"SF","Richard Jefferson",3000,"Atl@Cle 07:00PM ET",11.750,"Cle"
"SF","Ryan Kelly",3000,"Atl@Cle 07:00PM ET",2.000,"Atl"
"SF","Taurean Prince",3000,"Atl@Cle 07:00PM ET",2.833,"Atl"
"SF","DeAndre' Bembry",3000,"Atl@Cle 07:00PM ET",2.583,"Atl"
"PF","Kris Humphries",3000,"Atl@Cle 07:00PM ET",10.850,"Atl"
"PF","Mike Scott",3000,"Atl@Cle 07:00PM ET",0,"Atl"
"C","Chris Andersen",3000,"Atl@Cle 07:00PM ET",8.000,"Cle"
"C","Tiago Splitter",3000,"Atl@Cle 07:00PM ET",0,"Atl"
"PG","Shabazz Napier",3000,"Pho@Por 10:00PM ET",2.875,"Por"
"PG","Tim Quarterman",3000,"Pho@Por 10:00PM ET",0,"Por"
"PG","Tyler Ulis",3000,"Pho@Por 10:00PM ET",7.563,"Pho"
"SG","Leandro Barbosa",3000,"Pho@Por 10:00PM ET",7.708,"Pho"
"SG","John Jenkins",3000,"Pho@Por 10:00PM ET",0,"Pho"
"SF","Pat Connaughton",3000,"Pho@Por 10:00PM ET",4.250,"Por"
"SF","Derrick Jones Jr.",3000,"Pho@Por 10:00PM ET",0,"Pho"
"PF","Meyers Leonard",3000,"Pho@Por 10:00PM ET",7.917,"Por"
"PF","Jake Layman",3000,"Pho@Por 10:00PM ET",24.250,"Por"
"PF","Noah Vonleh",3000,"Pho@Por 10:00PM ET",7.250,"Por"
"PF","Marquese Chriss",3000,"Pho@Por 10:00PM ET",11.214,"Pho"
"PF","Dragan Bender",3000,"Pho@Por 10:00PM ET",6.250,"Pho"
"C","Festus Ezeli",3000,"Pho@Por 10:00PM ET",0,"Por"
